month,plant,hazard_level,hazard_name,hazard_label,measurement_count,combustible_gas_max_pct_lel,oxygen_min_pct,co_max_ppm,h2s_max_ppm,combustible_ok,oxygen_ok,co_ok,h2s_ok,standard_ok,alert_count
2024-09,桃園,A,A級,高危害,88,17.2,19.9,20.3,2.8,True,True,True,True,True,0
2024-09,桃園,B,B級,中危害,90,15.2,20.5,13.5,2.4,True,True,True,True,True,0
2024-09,桃園,C,C級,低危害,62,12.1,20.3,9.3,2.6,True,True,True,True,True,0
2024-10,桃園,A,A級,高危害,100,14.0,19.2,20.3,13.8,True,True,True,False,False,1
2024-10,桃園,B,B級,中危害,80,14.4,20.0,17.3,1.8,True,True,True,True,True,0
2024-10,桃園,C,C級,低危害,70,15.1,20.3,18.1,2.8,True,True,True,True,True,0
2024-11,桃園,A,A級,高危害,76,16.5,19.7,25.4,4.6,True,True,True,True,True,0
2024-11,桃園,B,B級,中危害,86,11.3,20.7,20.2,4.4,True,True,True,True,True,0
2024-11,桃園,C,C級,低危害,66,12.6,20.1,13.3,1.6,True,True,True,True,True,0
2024-12,桃園,A,A級,高危害,100,18.2,17.0,5.6,2.1,True,False,True,True,False,1
2024-12,桃園,B,B級,中危害,102,12.2,20.4,15.0,0.5,True,True,True,True,True,0
2024-12,桃園,C,C級,低危害,80,15.5,20.7,7.8,3.0,True,True,True,True,True,0
2025-01,桃園,A,A級,高危害,96,13.9,20.4,20.5,5.5,True,True,True,True,True,0
2025-01,桃園,B,B級,中危害,96,12.1,20.2,11.1,2.7,True,True,True,True,True,0
2025-01,桃園,C,C級,低危害,72,9.5,20.3,15.2,3.7,True,True,True,True,True,0
2025-02,桃園,A,A級,高危害,112,17.7,19.7,46.4,5.4,True,True,True,True,True,0
2025-02,桃園,B,B級,中危害,102,15.0,20.3,39.5,3.9,True,True,True,True,True,0
2025-02,桃園,C,C級,低危害,76,12.6,20.6,15.0,3.5,True,True,True,True,True,0
2025-03,桃園,A,A級,高危害,112,14.8,19.8,13.6,5.7,True,True,True,True,True,0
2025-03,桃園,B,B級,中危害,100,14.0,20.5,6.5,0.8,True,True,True,True,True,0
2025-03,桃園,C,C級,低危害,82,12.5,20.5,15.7,3.8,True,True,True,True,True,0
2025-04,桃園,A,A級,高危害,104,13.1,20.7,20.2,6.4,True,True,True,True,True,0
2025-04,桃園,B,B級,中危害,106,15.4,20.3,14.8,0.6,True,True,True,True,True,0
2025-04,桃園,C,C級,低危害,84,8.1,20.3,17.2,2.3,True,True,True,True,True,0
2025-05,桃園,A,A級,高危害,84,15.1,20.4,20.7,5.3,True,True,True,True,True,0
2025-05,桃園,B,B級,中危害,104,11.0,20.1,11.2,5.1,True,True,True,True,True,0
2025-05,桃園,C,C級,低危害,78,9.3,20.2,14.8,2.5,True,True,True,True,True,0
2025-06,桃園,A,A級,高危害,100,19.6,19.8,5.3,5.1,True,True,True,True,True,0
2025-06,桃園,B,B級,中危害,98,10.4,19.7,21.9,1.2,True,True,True,True,True,0
2025-06,桃園,C,C級,低危害,76,12.2,20.8,14.5,1.8,True,True,True,True,True,0
2025-07,桃園,A,A級,高危害,84,16.3,20.4,25.2,8.5,True,True,True,True,True,0
2025-07,桃園,B,B級,中危害,88,16.8,20.6,19.3,5.0,True,True,True,True,True,0
2025-07,桃園,C,C級,低危害,76,9.5,20.1,6.5,3.7,True,True,True,True,True,0
2025-08,桃園,A,A級,高危害,88,20.0,19.5,10.5,4.6,False,True,True,True,False,1
2025-08,桃園,B,B級,中危害,92,12.0,20.4,20.5,4.7,True,True,True,True,True,0
2025-08,桃園,C,C級,低危害,62,13.7,20.6,13.4,0.9,True,True,True,True,True,0
2025-09,桃園,A,A級,高危害,76,19.4,20.7,29.5,5.1,True,True,True,True,True,0
2025-09,桃園,B,B級,中危害,92,12.2,19.8,22.4,4.8,True,True,True,True,True,0
2025-09,桃園,C,C級,低危害,64,8.0,20.0,14.4,1.0,True,True,True,True,True,0
2025-10,桃園,A,A級,高危害,76,15.0,19.9,17.8,3.3,True,True,True,True,True,0
2025-10,桃園,B,B級,中危害,96,12.8,20.6,10.0,3.1,True,True,True,True,True,0
2025-10,桃園,C,C級,低危害,70,12.0,20.3,10.4,3.6,True,True,True,True,True,0
2025-11,桃園,A,A級,高危害,96,13.0,17.2,26.2,3.2,True,False,True,True,False,1
2025-11,桃園,B,B級,中危害,96,12.7,20.3,18.7,2.1,True,True,True,True,True,0
2025-11,桃園,C,C級,低危害,64,14.2,20.1,10.3,0.9,True,True,True,True,True,0
2025-12,桃園,A,A級,高危害,80,19.4,19.5,15.8,0.8,True,True,True,True,True,0
2025-12,桃園,B,B級,中危害,104,12.5,19.7,16.2,0.7,True,True,True,True,True,0
2025-12,桃園,C,C級,低危害,76,13.6,20.4,4.9,0.9,True,True,True,True,True,0
2026-01,桃園,A,A級,高危害,116,20.0,20.1,20.0,6.5,False,True,True,True,False,1
2026-01,桃園,B,B級,中危害,104,15.2,19.8,15.0,3.7,True,True,True,True,True,0
2026-01,桃園,C,C級,低危害,86,11.1,20.3,17.6,3.3,True,True,True,True,True,0
2026-02,桃園,A,A級,高危害,104,15.7,20.0,23.0,6.7,True,True,True,True,True,0
2026-02,桃園,B,B級,中危害,110,13.0,20.7,22.7,2.7,True,True,True,True,True,0
2026-02,桃園,C,C級,低危害,80,11.4,20.2,17.9,0.7,True,True,True,True,True,0
2026-03,桃園,A,A級,高危害,104,15.5,19.8,49.5,5.3,True,True,True,True,True,0
2026-03,桃園,B,B級,中危害,116,16.5,20.0,55.5,3.0,True,True,False,True,False,1
2026-03,桃園,C,C級,低危害,88,12.5,20.5,14.9,2.6,True,True,True,True,True,0
2026-04,桃園,A,A級,高危害,116,15.1,20.5,5.5,10.8,True,True,True,False,False,1
2026-04,桃園,B,B級,中危害,106,16.3,20.7,14.2,3.6,True,True,True,True,True,0
2026-04,桃園,C,C級,低危害,78,9.2,20.8,11.5,1.3,True,True,True,True,True,0
2026-05,桃園,A,A級,高危害,96,14.5,19.7,5.3,4.6,True,True,True,True,True,0
2026-05,桃園,B,B級,中危害,104,10.4,20.5,11.9,0.8,True,True,True,True,True,0
2026-05,桃園,C,C級,低危害,80,12.7,20.8,13.2,3.3,True,True,True,True,True,0
2026-06,桃園,A,A級,高危害,108,19.4,20.1,5.4,6.3,True,True,True,True,True,0
2026-06,桃園,B,B級,中危害,104,16.0,20.4,20.5,3.5,True,True,True,True,True,0
2026-06,桃園,C,C級,低危害,70,11.1,20.8,17.1,1.6,True,True,True,True,True,0
2026-07,桃園,A,A級,高危害,92,20.1,19.6,21.4,4.6,False,True,True,True,False,1
2026-07,桃園,B,B級,中危害,92,15.9,20.3,17.5,0.6,True,True,True,True,True,0
2026-07,桃園,C,C級,低危害,68,13.3,20.2,13.3,3.8,True,True,True,True,True,0
2026-08,桃園,A,A級,高危害,76,16.8,19.6,5.2,4.1,True,True,True,True,True,0
2026-08,桃園,B,B級,中危害,96,10.0,20.0,6.5,5.0,True,True,True,True,True,0
2026-08,桃園,C,C級,低危害,72,13.4,20.8,12.2,1.4,True,True,True,True,True,0
2026-09,桃園,A,A級,高危害,88,14.2,19.5,27.6,6.3,True,True,True,True,True,0
2026-09,桃園,B,B級,中危害,92,17.5,20.3,13.0,3.1,True,True,True,True,True,0
2026-09,桃園,C,C級,低危害,72,13.6,20.0,17.0,3.8,True,True,True,True,True,0
2026-10,桃園,A,A級,高危害,80,18.1,18.2,12.1,2.3,True,True,True,True,True,0
2026-10,桃園,B,B級,中危害,90,13.5,20.7,8.5,5.1,True,True,True,True,True,0
2026-10,桃園,C,C級,低危害,76,9.6,20.5,8.3,2.1,True,True,True,True,True,0
2026-11,桃園,A,A級,高危害,76,16.4,20.0,19.9,2.7,True,True,True,True,True,0
2026-11,桃園,B,B級,中危害,94,12.6,20.8,12.0,1.5,True,True,True,True,True,0
2026-11,桃園,C,C級,低危害,74,11.2,20.3,9.1,3.2,True,True,True,True,True,0
2026-12,桃園,A,A級,高危害,108,19.3,20.7,7.5,2.4,True,True,True,True,True,0
2026-12,桃園,B,B級,中危害,98,12.5,20.4,19.1,3.1,True,True,True,True,True,0
2026-12,桃園,C,C級,低危害,80,8.0,20.7,8.4,1.6,True,True,True,True,True,0
2024-01,台中,A,A級,高危害,88,18.6,19.7,8.0,4.1,True,True,True,True,True,0
2024-01,台中,B,B級,中危害,90,10.4,19.8,6.7,1.1,True,True,True,True,True,0
2024-01,台中,C,C級,低危害,74,12.5,20.7,12.2,1.2,True,True,True,True,True,0
2024-02,台中,A,A級,高危害,92,17.5,17.2,57.5,13.4,True,False,False,False,False,3
2024-02,台中,B,B級,中危害,96,15.5,20.6,57.7,1.8,True,True,False,True,False,1
2024-02,台中,C,C級,低危害,62,14.0,20.2,17.4,2.4,True,True,True,True,True,0
2024-03,台中,A,A級,高危害,72,15.8,19.7,17.3,2.9,True,True,True,True,True,0
2024-03,台中,B,B級,中危害,82,16.3,20.5,19.5,4.8,True,True,True,True,True,0
2024-03,台中,C,C級,低危害,74,12.4,20.3,9.6,0.9,True,True,True,True,True,0
2024-04,台中,A,A級,高危害,80,16.0,20.3,18.4,1.4,True,True,True,True,True,0
2024-04,台中,B,B級,中危害,84,11.3,20.1,6.0,4.7,True,True,True,True,True,0
2024-04,台中,C,C級,低危害,68,9.6,20.3,6.2,0.5,True,True,True,True,True,0
2024-05,台中,A,A級,高危害,80,18.7,19.2,23.4,5.4,True,True,True,True,True,0
2024-05,台中,B,B級,中危害,88,16.7,20.7,11.6,1.8,True,True,True,True,True,0
2024-05,台中,C,C級,低危害,72,14.8,20.1,15.1,1.0,True,True,True,True,True,0
2024-06,台中,A,A級,高危害,84,13.7,20.8,6.2,3.3,True,True,True,True,True,0
2024-06,台中,B,B級,中危害,78,12.6,20.0,9.5,2.2,True,True,True,True,True,0
2024-06,台中,C,C級,低危害,68,7.4,20.7,10.5,1.5,True,True,True,True,True,0
2024-07,台中,A,A級,高危害,72,15.1,20.5,10.3,3.5,True,True,True,True,True,0
2024-07,台中,B,B級,中危害,76,9.7,20.4,12.6,3.2,True,True,True,True,True,0
2024-07,台中,C,C級,低危害,62,9.0,20.6,10.8,0.7,True,True,True,True,True,0
2024-08,台中,A,A級,高危害,80,13.0,19.8,26.3,3.2,True,True,True,True,True,0
2024-08,台中,B,B級,中危害,80,13.8,20.7,18.0,4.2,True,True,True,True,True,0
2024-08,台中,C,C級,低危害,52,12.2,20.0,10.2,1.6,True,True,True,True,True,0
2024-09,台中,A,A級,高危害,80,18.0,20.3,21.4,4.2,True,True,True,True,True,0
2024-09,台中,B,B級,中危害,74,16.7,20.7,13.7,2.5,True,True,True,True,True,0
2024-09,台中,C,C級,低危害,60,9.6,20.2,12.5,3.6,True,True,True,True,True,0
2024-10,台中,A,A級,高危害,76,16.3,20.2,28.9,5.6,True,True,True,True,True,0
2024-10,台中,B,B級,中危害,80,12.8,20.5,14.4,1.6,True,True,True,True,True,0
2024-10,台中,C,C級,低危害,56,10.1,19.9,15.6,1.8,True,True,True,True,True,0
2024-11,台中,A,A級,高危害,84,18.2,19.4,15.6,8.6,True,True,True,True,True,0
2024-11,台中,B,B級,中危害,72,16.9,20.1,4.9,3.1,True,True,True,True,True,0
2024-11,台中,C,C級,低危害,60,14.0,20.4,6.7,3.5,True,True,True,True,True,0
2024-12,台中,A,A級,高危害,80,13.1,20.0,14.2,6.1,True,True,True,True,True,0
2024-12,台中,B,B級,中危害,84,14.3,19.8,15.1,1.7,True,True,True,True,True,0
2024-12,台中,C,C級,低危害,58,11.1,20.4,16.7,1.3,True,True,True,True,True,0
2025-01,台中,A,A級,高危害,96,13.9,18.0,5.8,5.5,True,True,True,True,True,0
2025-01,台中,B,B級,中危害,96,13.0,19.6,20.1,0.9,True,True,True,True,True,0
2025-01,台中,C,C級,低危害,62,10.0,20.7,15.4,2.4,True,True,True,True,True,0
2025-02,台中,A,A級,高危害,92,14.9,20.2,18.5,4.5,True,True,True,True,True,0
2025-02,台中,B,B級,中危害,90,13.6,20.5,8.8,1.2,True,True,True,True,True,0
2025-02,台中,C,C級,低危害,74,10.4,20.3,13.1,2.2,True,True,True,True,True,0
2025-03,台中,A,A級,高危害,76,14.3,20.8,44.5,1.8,True,True,True,True,True,0
2025-03,台中,B,B級,中危害,92,10.4,20.3,51.5,4.1,True,True,False,True,False,1
2025-03,台中,C,C級,低危害,64,7.4,20.6,7.1,1.7,True,True,True,True,True,0
2025-04,台中,A,A級,高危害,76,19.6,20.0,4.2,6.7,True,True,True,True,True,0
2025-04,台中,B,B級,中危害,92,11.4,19.6,16.8,4.8,True,True,True,True,True,0
2025-04,台中,C,C級,低危害,76,11.0,20.8,17.9,1.6,True,True,True,True,True,0
2025-05,台中,A,A級,高危害,72,16.8,20.7,6.1,4.3,True,True,True,True,True,0
2025-05,台中,B,B級,中危害,92,16.0,19.6,14.4,2.3,True,True,True,True,True,0
2025-05,台中,C,C級,低危害,68,7.9,20.7,12.5,3.7,True,True,True,True,True,0
2025-06,台中,A,A級,高危害,96,13.7,19.9,20.1,1.1,True,True,True,True,True,0
2025-06,台中,B,B級,中危害,92,10.1,20.5,6.9,2.1,True,True,True,True,True,0
2025-06,台中,C,C級,低危害,64,11.6,20.2,5.6,0.9,True,True,True,True,True,0
2025-07,台中,A,A級,高危害,84,19.5,20.3,6.6,0.5,True,True,True,True,True,0
2025-07,台中,B,B級,中危害,82,12.6,20.1,9.7,2.9,True,True,True,True,True,0
2025-07,台中,C,C級,低危害,70,9.6,20.7,4.1,3.6,True,True,True,True,True,0
2025-08,台中,A,A級,高危害,84,19.9,20.5,28.7,10.8,True,True,True,False,False,1
2025-08,台中,B,B級,中危害,78,13.9,20.7,20.0,3.7,True,True,True,True,True,0
2025-08,台中,C,C級,低危害,58,9.0,19.9,11.5,0.6,True,True,True,True,True,0
2025-09,台中,A,A級,高危害,80,14.8,20.3,13.8,1.3,True,True,True,True,True,0
2025-09,台中,B,B級,中危害,84,16.3,20.0,20.9,3.9,True,True,True,True,True,0
2025-09,台中,C,C級,低危害,66,9.8,20.5,6.0,2.3,True,True,True,True,True,0
2025-10,台中,A,A級,高危害,64,16.6,20.1,22.8,2.5,True,True,True,True,True,0
2025-10,台中,B,B級,中危害,82,14.8,19.6,4.0,3.8,True,True,True,True,True,0
2025-10,台中,C,C級,低危害,60,10.6,20.2,8.6,1.9,True,True,True,True,True,0
2025-11,台中,A,A級,高危害,96,17.8,19.8,8.9,6.6,True,True,True,True,True,0
2025-11,台中,B,B級,中危害,82,14.4,19.8,15.6,3.3,True,True,True,True,True,0
2025-11,台中,C,C級,低危害,56,12.0,20.6,17.6,2.7,True,True,True,True,True,0
2025-12,台中,A,A級,高危害,76,15.5,17.7,18.0,6.1,True,False,True,True,False,1
2025-12,台中,B,B級,中危害,86,16.6,19.7,19.0,2.1,True,True,True,True,True,0
2025-12,台中,C,C級,低危害,66,11.7,20.3,16.7,2.5,True,True,True,True,True,0
2026-01,台中,A,A級,高危害,80,17.1,20.4,17.9,1.1,True,True,True,True,True,0
2026-01,台中,B,B級,中危害,82,15.1,20.0,5.7,3.3,True,True,True,True,True,0
2026-01,台中,C,C級,低危害,64,9.4,20.3,5.5,1.4,True,True,True,True,True,0
2026-02,台中,A,A級,高危害,96,18.6,20.4,25.2,0.9,True,True,True,True,True,0
2026-02,台中,B,B級,中危害,90,13.2,20.8,5.2,2.3,True,True,True,True,True,0
2026-02,台中,C,C級,低危害,64,9.2,20.1,5.2,2.1,True,True,True,True,True,0
2026-03,台中,A,A級,高危害,80,14.5,20.8,17.9,2.9,True,True,True,True,True,0
2026-03,台中,B,B級,中危害,94,10.7,20.3,20.9,5.1,True,True,True,True,True,0
2026-03,台中,C,C級,低危害,76,7.5,20.3,9.5,2.4,True,True,True,True,True,0
2026-04,台中,A,A級,高危害,96,12.4,19.5,64.4,0.9,True,True,False,True,False,1
2026-04,台中,B,B級,中危害,94,10.4,19.8,52.7,3.4,True,True,False,True,False,1
2026-04,台中,C,C級,低危害,76,13.7,19.9,5.1,0.8,True,True,True,True,True,0
2026-05,台中,A,A級,高危害,76,17.4,20.5,24.2,8.9,True,True,True,True,True,0
2026-05,台中,B,B級,中危害,88,15.6,20.0,19.4,1.9,True,True,True,True,True,0
2026-05,台中,C,C級,低危害,70,8.7,20.1,7.2,3.5,True,True,True,True,True,0
2026-06,台中,A,A級,高危害,84,12.5,20.1,26.8,0.4,True,True,True,True,True,0
2026-06,台中,B,B級,中危害,90,12.2,20.1,12.2,0.7,True,True,True,True,True,0
2026-06,台中,C,C級,低危害,70,10.7,20.0,4.1,1.6,True,True,True,True,True,0
2026-07,台中,A,A級,高危害,76,20.0,19.9,28.6,5.7,False,True,True,True,False,1
2026-07,台中,B,B級,中危害,86,15.2,20.6,12.2,4.1,True,True,True,True,True,0
2026-07,台中,C,C級,低危害,60,11.9,20.0,15.7,3.3,True,True,True,True,True,0
2026-08,台中,A,A級,高危害,64,20.0,19.3,28.9,2.1,False,True,True,True,False,1
2026-08,台中,B,B級,中危害,74,11.8,20.3,14.5,1.3,True,True,True,True,True,0
2026-08,台中,C,C級,低危害,68,14.7,19.9,7.7,2.8,True,True,True,True,True,0
2026-09,台中,A,A級,高危害,92,19.2,20.7,18.7,2.9,True,True,True,True,True,0
2026-09,台中,B,B級,中危害,82,10.7,19.7,22.3,3.3,True,True,True,True,True,0
2026-09,台中,C,C級,低危害,56,7.7,20.3,9.6,3.6,True,True,True,True,True,0
2026-10,台中,A,A級,高危害,72,16.6,19.8,22.2,4.0,True,True,True,True,True,0
2026-10,台中,B,B級,中危害,74,10.9,19.8,9.4,2.0,True,True,True,True,True,0
2026-10,台中,C,C級,低危害,56,12.1,20.2,12.0,1.7,True,True,True,True,True,0
2026-11,台中,A,A級,高危害,80,12.7,16.9,15.3,5.5,True,False,True,True,False,1
2026-11,台中,B,B級,中危害,76,14.6,20.3,23.0,2.0,True,True,True,True,True,0
2026-11,台中,C,C級,低危害,64,15.3,20.4,15.3,2.6,True,True,True,True,True,0
2026-12,台中,A,A級,高危害,84,17.0,19.7,14.2,0.6,True,True,True,True,True,0
2026-12,台中,B,B級,中危害,82,14.4,19.9,18.2,3.2,True,True,True,True,True,0
2026-12,台中,C,C級,低危害,68,12.6,20.4,4.4,1.9,True,True,True,True,True,0
2024-01,嘉義,A,A級,高危害,76,16.8,19.8,13.3,3.2,True,True,True,True,True,0
2024-01,嘉義,B,B級,中危害,70,11.2,19.6,15.0,4.0,True,True,True,True,True,0
2024-01,嘉義,C,C級,低危害,56,11.7,20.4,10.1,3.1,True,True,True,True,True,0
2024-02,嘉義,A,A級,高危害,76,17.6,20.5,20.3,1.7,True,True,True,True,True,0
2024-02,嘉義,B,B級,中危害,78,10.9,20.6,20.4,1.1,True,True,True,True,True,0
2024-02,嘉義,C,C級,低危害,62,8.2,20.2,7.0,1.6,True,True,True,True,True,0
2024-03,嘉義,A,A級,高危害,92,11.7,17.5,55.5,9.6,True,False,False,True,False,2
2024-03,嘉義,B,B級,中危害,76,10.8,20.5,54.0,0.8,True,True,False,True,False,1
2024-03,嘉義,C,C級,低危害,58,11.9,20.2,9.0,3.3,True,True,True,True,True,0
2024-04,嘉義,A,A級,高危害,72,13.4,20.7,10.1,4.5,True,True,True,True,True,0
2024-04,嘉義,B,B級,中危害,76,15.4,20.4,5.6,3.6,True,True,True,True,True,0
2024-04,嘉義,C,C級,低危害,64,7.2,20.6,13.0,0.9,True,True,True,True,True,0
2024-05,嘉義,A,A級,高危害,60,15.0,20.0,6.7,3.5,True,True,True,True,True,0
2024-05,嘉義,B,B級,中危害,80,13.8,20.1,15.0,4.0,True,True,True,True,True,0
2024-05,嘉義,C,C級,低危害,58,10.9,20.7,11.0,2.3,True,True,True,True,True,0
2024-06,嘉義,A,A級,高危害,64,18.0,19.4,4.6,3.0,True,True,True,True,True,0
2024-06,嘉義,B,B級,中危害,74,16.2,20.4,5.8,4.5,True,True,True,True,True,0
2024-06,嘉義,C,C級,低危害,48,13.4,20.8,9.9,3.3,True,True,True,True,True,0
2024-07,嘉義,A,A級,高危害,76,16.1,20.0,8.4,1.2,True,True,True,True,True,0
2024-07,嘉義,B,B級,中危害,60,11.6,20.4,8.2,1.6,True,True,True,True,True,0
2024-07,嘉義,C,C級,低危害,46,10.7,20.6,5.8,1.1,True,True,True,True,True,0
2024-08,嘉義,A,A級,高危害,56,18.0,20.2,25.8,3.4,True,True,True,True,True,0
2024-08,嘉義,B,B級,中危害,72,11.4,20.5,17.0,3.0,True,True,True,True,True,0
2024-08,嘉義,C,C級,低危害,44,9.9,20.0,10.6,0.4,True,True,True,True,True,0
2024-09,嘉義,A,A級,高危害,56,13.7,19.4,11.3,6.0,True,True,True,True,True,0
2024-09,嘉義,B,B級,中危害,62,11.2,20.6,15.7,0.4,True,True,True,True,True,0
2024-09,嘉義,C,C級,低危害,56,13.3,20.5,16.3,0.6,True,True,True,True,True,0
2024-10,嘉義,A,A級,高危害,60,11.4,19.1,10.9,2.3,True,True,True,True,True,0
2024-10,嘉義,B,B級,中危害,70,14.0,19.8,8.8,3.9,True,True,True,True,True,0
2024-10,嘉義,C,C級,低危害,52,14.8,20.5,8.2,3.0,True,True,True,True,True,0
2024-11,嘉義,A,A級,高危害,60,13.3,19.6,13.0,5.3,True,True,True,True,True,0
2024-11,嘉義,B,B級,中危害,66,12.9,20.2,15.4,1.7,True,True,True,True,True,0
2024-11,嘉義,C,C級,低危害,56,12.4,20.5,14.9,2.6,True,True,True,True,True,0
2024-12,嘉義,A,A級,高危害,84,14.3,20.5,24.4,10.6,True,True,True,False,False,1
2024-12,嘉義,B,B級,中危害,66,10.2,20.4,7.9,2.2,True,True,True,True,True,0
2024-12,嘉義,C,C級,低危害,58,8.5,20.0,11.2,2.6,True,True,True,True,True,0
2025-01,嘉義,A,A級,高危害,60,15.1,19.2,21.2,2.3,True,True,True,True,True,0
2025-01,嘉義,B,B級,中危害,72,13.8,20.7,9.7,1.9,True,True,True,True,True,0
2025-01,嘉義,C,C級,低危害,50,14.4,20.1,8.2,0.9,True,True,True,True,True,0
2025-02,嘉義,A,A級,高危害,92,14.2,17.1,26.0,6.0,True,False,True,True,False,1
2025-02,嘉義,B,B級,中危害,80,11.9,19.8,17.6,3.2,True,True,True,True,True,0
2025-02,嘉義,C,C級,低危害,66,14.1,20.0,16.3,2.7,True,True,True,True,True,0
2025-03,嘉義,A,A級,高危害,76,12.6,20.7,5.7,0.5,True,True,True,True,True,0
2025-03,嘉義,B,B級,中危害,78,16.3,20.5,8.3,1.6,True,True,True,True,True,0
2025-03,嘉義,C,C級,低危害,56,7.2,20.7,4.3,2.6,True,True,True,True,True,0
2025-04,嘉義,A,A級,高危害,68,16.1,20.1,46.1,3.9,True,True,True,True,True,0
2025-04,嘉義,B,B級,中危害,72,15.8,20.5,44.6,1.5,True,True,True,True,True,0
2025-04,嘉義,C,C級,低危害,56,10.0,20.5,11.7,1.1,True,True,True,True,True,0
2025-05,嘉義,A,A級,高危害,64,12.4,19.7,18.6,3.9,True,True,True,True,True,0
2025-05,嘉義,B,B級,中危害,72,10.5,20.2,8.0,4.0,True,True,True,True,True,0
2025-05,嘉義,C,C級,低危害,60,12.3,20.2,11.7,0.6,True,True,True,True,True,0
2025-06,嘉義,A,A級,高危害,76,16.3,20.0,25.6,5.1,True,True,True,True,True,0
2025-06,嘉義,B,B級,中危害,76,9.5,20.3,20.8,3.2,True,True,True,True,True,0
2025-06,嘉義,C,C級,低危害,50,10.5,20.0,14.4,1.1,True,True,True,True,True,0
2025-07,嘉義,A,A級,高危害,80,18.9,19.6,17.5,4.0,True,True,True,True,True,0
2025-07,嘉義,B,B級,中危害,68,16.5,20.3,15.3,3.6,True,True,True,True,True,0
2025-07,嘉義,C,C級,低危害,54,12.5,20.3,12.0,1.4,True,True,True,True,True,0
2025-08,嘉義,A,A級,高危害,64,14.4,19.2,8.5,5.0,True,True,True,True,True,0
2025-08,嘉義,B,B級,中危害,66,10.6,20.1,19.3,3.5,True,True,True,True,True,0
2025-08,嘉義,C,C級,低危害,44,14.6,20.6,14.2,2.6,True,True,True,True,True,0
2025-09,嘉義,A,A級,高危害,64,12.6,20.7,18.6,11.3,True,True,True,False,False,1
2025-09,嘉義,B,B級,中危害,68,11.0,20.3,8.2,0.9,True,True,True,True,True,0
2025-09,嘉義,C,C級,低危害,52,7.5,20.2,12.6,1.8,True,True,True,True,True,0
2025-10,嘉義,A,A級,高危害,72,17.3,19.8,15.7,2.3,True,True,True,True,True,0
2025-10,嘉義,B,B級,中危害,66,11.1,20.0,9.0,3.1,True,True,True,True,True,0
2025-10,嘉義,C,C級,低危害,48,11.9,20.4,8.1,2.5,True,True,True,True,True,0
2025-11,嘉義,A,A級,高危害,76,17.1,20.5,4.2,5.4,True,True,True,True,True,0
2025-11,嘉義,B,B級,中危害,74,14.8,20.5,19.0,4.0,True,True,True,True,True,0
2025-11,嘉義,C,C級,低危害,46,8.5,20.8,15.2,1.1,True,True,True,True,True,0
2025-12,嘉義,A,A級,高危害,56,13.9,20.1,18.4,5.7,True,True,True,True,True,0
2025-12,嘉義,B,B級,中危害,74,16.0,20.4,12.1,1.9,True,True,True,True,True,0
